Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
32.0,0,1,0,5.0,90000.0,0,0,0
28.0,1,2,1,3.0,65000.0,1,1,0
45.0,0,3,2,15.0,150000.0,2,0,1
36.0,1,1,3,7.0,60000.0,1,1,0
52.0,0,2,4,20.0,200000.0,1,2,0
29.0,0,1,5,2.0,55000.0,1,1,0
42.0,1,2,6,12.0,120000.0,1,2,0
31.0,0,1,7,4.0,80000.0,3,3,0
26.0,1,1,8,1.0,45000.0,3,4,0
38.0,0,3,9,10.0,110000.0,4,5,1
29.0,0,2,10,3.0,75000.0,0,6,0
48.0,1,1,11,18.0,140000.0,0,2,0
35.0,0,1,12,6.0,65000.0,3,3,0
40.0,1,2,13,14.0,130000.0,1,7,0
27.0,0,1,14,2.0,40000.0,2,2,0
44.0,0,1,15,16.0,125000.0,3,4,0
33.0,1,2,16,7.0,90000.0,1,2,0
39.0,0,3,17,12.0,115000.0,0,8,1
25.0,1,1,18,0.0,35000.0,0,2,0
51.0,0,1,19,22.0,180000.0,4,2,0
34.0,1,2,20,5.0,80000.0,3,3,0
47.0,0,2,21,19.0,190000.0,0,0,0
30.0,0,1,22,2.0,50000.0,0,2,0
36.0,1,1,23,9.0,60000.0,3,0,0
41.0,0,2,24,13.0,140000.0,1,7,0
28.0,1,1,25,3.0,45000.0,2,0,0
37.0,1,2,26,11.0,110000.0,4,2,0
24.0,0,1,27,1.0,40000.0,4,2,0
43.0,1,3,28,15.0,140000.0,2,9,1
33.0,0,2,29,6.0,90000.0,3,3,0
50.0,0,1,30,25.0,250000.0,2,2,0
31.0,1,1,31,4.0,55000.0,0,0,0
29.0,0,2,32,3.0,75000.0,1,1,0
39.0,1,1,33,10.0,65000.0,2,0,0
46.0,0,3,2,20.0,170000.0,1,1,1
27.0,0,1,34,2.0,45000.0,4,2,0
35.0,1,1,35,7.0,60000.0,0,0,0
42.0,0,2,36,14.0,115000.0,3,0,0
26.0,1,1,37,1.0,40000.0,2,2,0
49.0,0,1,38,21.0,160000.0,3,0,0
34.0,1,2,39,5.0,80000.0,0,2,0
48.0,0,2,40,18.0,190000.0,2,9,0
30.0,0,1,41,3.0,60000.0,3,3,0
36.0,1,1,42,8.0,45000.0,0,2,0
41.0,0,2,43,13.0,130000.0,0,2,0
28.0,1,1,44,2.0,40000.0,1,0,0
32.0,0,1,45,5.0,75000.0,4,2,0
45.0,1,2,46,16.0,180000.0,0,6,0
38.0,0,3,9,11.0,120000.0,4,2,1
25.0,0,1,47,0.0,35000.0,1,2,0
51.0,1,1,48,22.0,130000.0,3,3,0
